CPU,,,,"GPU (NVIDIA GeForce GTX 1650, 3906MiB)",,,
Pre-process [s],Inference[s],NM[s],TOT[s],Pre-process [s],Inference[s],NM[s],TOT[s]
0.00453686141967773,0.0616421573162079,0.000825941801071167,0.0670049605369568,0.00327760577201843,0.0047678587436676,0.00622480201721191,0.014270266532898
0.00323848485946655,0.019316409111023,0.000563682317733765,0.0231185762882233,0.00282430505752563,0.00429103899002075,0.000778091192245483,0.00789343523979187
0.00407856822013855,0.453896147012711,0.000841543197631836,0.458816258430481,/,/,/,/
0.00132711434364319,0.117711728572845,0.000829235792160034,0.119868078708649,/,/,/,/
0.00412820410728455,0.0246501076221466,0.000835426568984985,0.0296137382984161,0.0032080340385437,0.00465103054046631,0.00120911049842834,0.00906817507743835
0.00323582077026367,0.0112106635570526,0.000609031677246094,0.0150555160045624,0.00279722476005554,0.00427508592605591,0.000767959356307983,0.00784027004241943
0.00406839346885681,0.199326600074768,0.000826623201370239,0.204221616744995,/,/,/,/
0.00128770899772644,0.0530277435779572,0.000780457019805908,0.0550959095954895,/,/,/,/
0.00121007943153381,0.093059564113617,0.000655303478240967,0.0949249470233917,0.00097650671005249,0.0150398368835449,0.000844484090805054,0.0168608276844025
0.000327958106994629,0.030252598285675,0.000551320552825928,0.0311318769454956,0.000326439619064331,0.00511608266830444,0.000792351722717285,0.00623487401008606
0.00106483602523804,1.73486597919464,0.000703023672103882,1.73663383889198,/,/,/,/
0.000318837404251099,0.44994828081131,0.000670758724212647,0.450937876939774,/,/,/,/
0.00116428470611572,0.0409364011287689,0.000633140087127685,0.0427338259220123,0.000927534341812134,0.00670048546791077,0.000760260820388794,0.00838828063011169
0.000333749294281006,0.0152497501373291,0.000509136915206909,0.016092636346817,0.000279125452041626,0.00429548478126526,0.000677243709564209,0.00525185394287109
0.00108100891113281,0.611436106204987,0.000671386480331421,0.613188501596451,/,/,/,/
0.000290804147720337,0.162800302028656,0.000661076307296753,0.163752182483673,/,/,/,/
0.0010048406124115,0.080377993106842,0.000630865812301636,0.0820136995315552,0.000877060890197754,0.0135491118431091,0.000805188179016113,0.015231360912323
0.000445487499237061,0.0282939884662628,0.00052508807182312,0.029264564037323,0.000438144683837891,0.00555946516990662,0.000744351148605347,0.00674196100234985
0.00124883961677551,2.03903563213348,0.000757030725479126,2.04104150247574,/,/,/,/
0.000304937601089478,0.517285303831101,0.000592492341995239,0.518182733774185,/,/,/,/
0.000968896627426147,0.0347640850543976,0.00057205080986023,0.036305032491684,0.000814377307891846,0.00675851941108704,0.000722795724868774,0.00829569244384766
0.00029330587387085,0.178896816968918,0.000597620964050293,0.179787743806839,0.000424461603164673,0.00475017070770264,0.000734733581542969,0.00590936589241028
0.00159279131889343,0.690195786952972,0.000690414190292358,0.692478992462158,/,/,/,/
0.00106218767166138,0.164162708997726,0.000267024993896484,0.165491921663284,/,/,/,/
