CPU,"GPU (NVIDIA Tegra X1, 3960MiB)",CPU,"GPU (NVIDIA GeForce GTX 1650, 3906MiB)",CPU
Full Det. [s],Full Det. [s],Full Det. [s],Full Det. [s],Full Det. [s]
1.94405912852287,0.213060664892197,0.0670049605369568,0.014270266532898,2.09181236147881
0.822364704847336,0.0719706513881683,0.0231185762882233,0.00789343523979187,0.748253070831299
1.48923693704605,/,0.458816258430481,/,1.29524881052971
0.375262097120285,/,0.119868078708649,/,0.327950575590134
"1,207068401",0.109135093927383,0.0296137382984161,0.00906817507743835,1.02251037311554
0.531941639900207,0.0518259501457214,0.0150555160045624,0.00784027004241943,0.436493450641632
0.579513981819153,/,0.204221616744995,/,0.529099699735642
0.151109082937241,/,0.0550959095954895,/,0.133522658348083
2.44818150568008,0.222817833185196,0.0949249470233917,0.0168608276844025,2.59980820226669
0.958140477895737,0.0756558330059052,0.0311318769454956,0.00623487401008606,0.991847939491272
2.3347036819458,/,1.73663383889198,/,2.21501866984367
0.593457221746445,/,0.450937876939774,/,0.548380247354507
1.43854476332664,0.105537228822708,0.0427338259220123,0.00838828063011169,1.21344503903389
0.655142983913422,0.0490466618537903,0.016092636346817,0.00525185394287109,0.511803220272064
0.973663385391235,/,0.613188501596451,/,0.971338149547577
0.246350245714188,/,0.163752182483673,/,0.234160719394684
2.54083267521858,0.241209114313126,0.0820136995315552,0.015231360912323,2.92883248376846
0.927803666114807,0.0846197896003723,0.029264564037323,0.00674196100234985,1.15566718173027
2.79688339161873,/,1.94029715037346,/,2.43005560255051
0.705533561706543,/,0.483687615394592,/,0.606987678050995
1.52581412005425,0.109444440126419,0.036305032491684,0.00829569244384766,1.24875567150116
0.635277941226959,0.0459140920639038,0.0140000536441803,0.00590936589241028,0.520166715621948
1.17533506298065,/,0.655640520095825,/,1.02216146373749
0.288668711185455,/,0.165491921663284,/,0.247820539712906
